tileswide 16
tileshigh 16
tilewidth 16
tileheight 16

layer 0
2,2,2,2,2,2,2,2,2,2,2,57,2,30,2,2
2,2,44,2,2,2,2,2,2,2,2,2,2,2,24,2
2,30,57,57,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,401,416,2,2,2,2,2,2,2,2,2,46
2,2,2,401,401,387,401,401,401,2,2,44,2,2,2,2
24,2,401,401,401,401,401,401,401,387,2,2,2,2,2,2
2,401,401,401,2,2,2,416,401,401,416,401,415,46,57,2
401,401,401,2,2,2,2,2,2,401,401,401,401,401,2,2
415,2,2,2,2,2,2,2,2,2,2,401,401,401,401,2
46,24,2,2,44,2,2,2,46,2,2,2,2,401,401,401
2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,401
2,2,2,2,2,2,2,2,24,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,57,2
2,2,30,2,2,2,2,2,2,2,44,2,2,2,24,2
2,2,2,24,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46

